,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
43,2019-05-14,2839695.965530663,2810914.7114709723,2927122.598040432,2839695.965530663,2839695.965530663,27454.781720394647,27454.781720394647,27454.781720394647,27454.781720394647,27454.781720394647,27454.781720394647,0.0,0.0,0.0,2867150.7472510575
44,2019-05-15,2844212.510688886,2797299.1909969538,2908430.164274511,2844212.510688886,2844212.510688886,8846.171934977878,8846.171934977878,8846.171934977878,8846.171934977878,8846.171934977878,8846.171934977878,0.0,0.0,0.0,2853058.682623864
45,2019-05-16,2848729.056008372,2773308.3666675054,2887995.5245772493,2848729.056008372,2848729.056008372,-18532.54782422359,-18532.54782422359,-18532.54782422359,-18532.54782422359,-18532.54782422359,-18532.54782422359,0.0,0.0,0.0,2830196.5081841485
46,2019-05-17,2853245.601327858,2786446.0652883314,2899523.740448888,2853245.601327858,2853245.601327858,-15852.147276086058,-15852.147276086058,-15852.147276086058,-15852.147276086058,-15852.147276086058,-15852.147276086058,0.0,0.0,0.0,2837393.4540517717
47,2019-05-18,2857762.1466473434,2784105.4390866323,2899292.8335477593,2857762.1466473434,2857762.1466473434,-17396.604059052555,-17396.604059052555,-17396.604059052555,-17396.604059052555,-17396.604059052555,-17396.604059052555,0.0,0.0,0.0,2840365.5425882908
48,2019-05-19,2862278.6919966484,2800144.605389376,2916108.6597118312,2862278.6919966484,2862278.6919966484,-4470.9073302630795,-4470.9073302630795,-4470.9073302630795,-4470.9073302630795,-4470.9073302630795,-4470.9073302630795,0.0,0.0,0.0,2857807.7846663855
49,2019-05-20,2866795.2373459535,2832267.5874442398,2945548.0875351685,2866795.2373459535,2866795.2373459535,19951.252834254617,19951.252834254617,19951.252834254617,19951.252834254617,19951.252834254617,19951.252834254617,0.0,0.0,0.0,2886746.490180208
50,2019-05-21,2871311.7826952585,2841291.27977114,2955163.4492514525,2871311.7826952585,2871311.7826952585,27454.78172038468,27454.78172038468,27454.78172038468,27454.78172038468,27454.78172038468,27454.78172038468,0.0,0.0,0.0,2898766.564415643
51,2019-05-22,2875828.3280445635,2831065.9990138463,2942987.2572125583,2875828.3280445635,2875828.3280445635,8846.171934958364,8846.171934958364,8846.171934958364,8846.171934958364,8846.171934958364,8846.171934958364,0.0,0.0,0.0,2884674.499979522
52,2019-05-23,2880344.8998051947,2803302.8812256395,2917946.5950716315,2880344.8998051947,2880344.8998051947,-18532.547824231155,-18532.547824231155,-18532.547824231155,-18532.547824231155,-18532.547824231155,-18532.547824231155,0.0,0.0,0.0,2861812.3519809637
53,2019-05-24,2884861.4715658263,2810398.5353305656,2927314.37420929,2884861.4715658263,2884861.4715658263,-15852.147276085838,-15852.147276085838,-15852.147276085838,-15852.147276085838,-15852.147276085838,-15852.147276085838,0.0,0.0,0.0,2869009.3242897405
54,2019-05-25,2889378.0433264575,2813922.1768928664,2925645.80687925,2889378.0433264575,2889378.0433264575,-17396.604059068508,-17396.604059068508,-17396.604059068508,-17396.604059068508,-17396.604059068508,-17396.604059068508,0.0,0.0,0.0,2871981.439267389
55,2019-05-26,2893894.615146776,2829998.030183143,2947078.4502307135,2893894.615146776,2893894.615146776,-4470.907330234276,-4470.907330234276,-4470.907330234276,-4470.907330234276,-4470.907330234276,-4470.907330234276,0.0,0.0,0.0,2889423.707816542
56,2019-05-27,2898411.1869670944,2865279.8399551585,2979061.1620112765,2898411.1869670944,2898411.1869670944,19951.25283427657,19951.25283427657,19951.25283427657,19951.25283427657,19951.25283427657,19951.25283427657,0.0,0.0,0.0,2918362.439801371
57,2019-05-28,2902927.758787413,2872912.2834467003,2987755.047712354,2902927.758787413,2902927.758787413,27454.78172037471,27454.78172037471,27454.78172037471,27454.78172037471,27454.78172037471,27454.78172037471,0.0,0.0,0.0,2930382.540507788
58,2019-05-29,2907444.3309555943,2858530.0360498503,2979977.97654287,2907444.3309555943,2907444.3309555943,8846.17193492936,8846.17193492936,8846.17193492936,8846.17193492936,8846.17193492936,8846.17193492936,0.0,0.0,0.0,2916290.5028905235
59,2019-05-30,2911960.9031237755,2837117.5600885805,2954345.2818348934,2911960.9031237755,2911960.9031237755,-18532.547824217745,-18532.547824217745,-18532.547824217745,-18532.547824217745,-18532.547824217745,-18532.547824217745,0.0,0.0,0.0,2893428.3552995576
60,2019-05-31,2916477.4752919567,2840636.1328384858,2956193.6481429418,2916477.475291956,2916477.475291956,-15852.147276083433,-15852.147276083433,-15852.147276083433,-15852.147276083433,-15852.147276083433,-15852.147276083433,0.0,0.0,0.0,2900625.328015873
61,2019-06-01,2920994.047226346,2846052.4734544433,2962028.812118998,2920994.047226346,2920994.047226346,-17396.604059055317,-17396.604059055317,-17396.604059055317,-17396.604059055317,-17396.604059055317,-17396.604059055317,0.0,0.0,0.0,2903597.4431672907
62,2019-06-02,2925510.6191607355,2865367.6276559844,2981203.004456487,2925510.6191607355,2925510.6191607355,-4470.90733022426,-4470.90733022426,-4470.90733022426,-4470.90733022426,-4470.90733022426,-4470.90733022426,0.0,0.0,0.0,2921039.711830511
63,2019-06-03,2930027.1910951245,2896651.9350684206,3005952.9033674584,2930027.1910951245,2930027.1910951245,19951.25283429852,19951.25283429852,19951.25283429852,19951.25283429852,19951.25283429852,19951.25283429852,0.0,0.0,0.0,2949978.443929423
64,2019-06-04,2934543.7631424507,2903958.555448098,3017244.5083248597,2934543.7631424507,2934543.7631424507,27454.78172036473,27454.78172036473,27454.78172036473,27454.78172036473,27454.78172036473,27454.78172036473,0.0,0.0,0.0,2961998.5448628156
65,2019-06-05,2939060.335189777,2892502.1178129255,3010589.729632536,2939060.335189777,2939060.335189777,8846.17193497902,8846.17193497902,8846.17193497902,8846.17193497902,8846.17193497902,8846.17193497902,0.0,0.0,0.0,2947906.507124756
